start,codename,description
B,BRIMSTONE,BRIMSTONE World War II plan (canceled) for the capture of Sardinia
B,BROADWAY,BROADWAY World War II code name for a drop site about fifty miles northwest of Indaw, Burma, used to resupply the Chindits
B,BROWN,BROWN Gulf War code name for an XVIII Airborne Corps objective
B,BUCCANEER,BUCCANEER World War II plan (cancelled) for the amphibious capture of the Andaman Islands
B,BUCKSHOT,BUCKSHOT 16 Korean War operation by the Republic of Korea 11th Division, Republic of Korea I Corps, to take North Korean prisoners
B,BUFFALO,BUFFALO World War II operation to break out of the Anzio beachhead
B,BUMP,BUMP Gulf War Forward Assembly Area used by Aviation Brigade, 1st Armored Division
B,BUTTRESS,BUTTRESS World War II British operation (cancelled) against the toe of the Italian peninsula involving landings at Goija staged from North Africa
B,BYPRODUCT,BYPRODUCT World War II code name for Trobriand Islands (not an actual operation)
C,CACTUS,CACTUS World War II operation to capture Guadalcanal (a sub-task of WATCHTOWER)
C,CAMEL,CAMEL World War II code name for the task force for the invasion of southern France built around the 36th Infantry Division
C,CAPITAL,CAPITAL World War II plan for the attack across the Chindwin River to Mandalay
C,CAPRI,CAPRI World War II plan for an attack against Médenine
C,CARBONADO,CARBONADO World War II plan to open a port on the coast of China (revised BETA)
C,CARPETBAGGER,CARPETBAGGER World War II operation to airdrop supplies from the United Kingdom to patriot forces in western Europe
C,CARTWHEEL,CARTWHEEL World War II operations to capture the Solomon Islands, New Britain, and New Ireland involving convergent operations from the South Pacific and Southwest Pacific Areas of Operations targeted against Rabaul
C,CASANOVA,CASANOVA World War II diversionary operation by the 95th Infantry Division during operations against Metz
C,CATCHPOLE,CATCHPOLE World War II plan for operations against the Eniwetok and Ujelang Atolls in the Marshall Islands
C,CAUSEWAY,CAUSEWAY World War II operation plan (August 1944) to capture Formosa which was not executed
C,CENT,CENT World War II code name for the beaches at Scoglitti, Sicily
C,CHAMPION,CHAMPION World War II plan (late 1943) for a general offensive in Burma
C,CHAMPION,CHAMPION MAIN Code name for the Headquarters of the 82d Airborne Division in the Eastern Province of Saudi Arabia during DESERT SHIELD
C,CHARGER,CHARGER Gulf War code name for an XVIII Airborne Corps phase line
C,CHATTANOOGA,CHATTANOOGA CHOO CHOO World War II AEAF operations against German train movements in France and Germany
C,CHERRY,CHERRY Gulf War code name for a VII Corps phase line
C,CHESTNUT,CHESTNUT World War II code name for four airborne missions sent by Montgomery in an effort to reinforce his army in Sicily with airborne troops
C,CHOPSTICK,CHOPSTICK 6 Korean War plan for the envelopment of the high ground south of P'yong-gang by a reinforced Republic of Korea division
C,CHOPSTICK,CHOPSTICK 16 Korean War plan for a two-division attack to drive the Communists from the area east and south of the Nam River
C,CHROMITE,CHROMITE Korean War (September 1950) landing at Inch'on
C,CHRONICLE,CHRONICLE World War II operation to capture Woodlark Island and Kiriwina
C,CITADEL,CITADEL Ground convoy task force of the 1st Brigade, 101st Airborne Division, that opened a main supply route to Forward Operating Base COBRA on 24 February 1991 during DESERT STORM
C,CLAM-UP,CLAM-UP Korean War operation to delude the Communists by imposing silence along the front lines 10-15 February 1952
C,CLEANSLATE,CLEANSLATE World War II operation to occupy the Russell Islands
C,CLIPPER,CLIPPER World War II British 30 Corps offensive to reduce the Geilenkirchen salient
C,COBALT,COBALT Gulf War name for 1st (United Kingdom) Armoured Division objective
C,COBRA,COBRA World War II plan for the First Army's operation designed to penetrate the German defenses west of St. Lô and secure Coutances, France
C,COBRA,COBRA (FOB) Forward Operating Base (FOB) of the 101st Airborne Division in Iraq secured by deep air assault on 24 February 1991 during DESERT STORM
C,COLLINS,COLLINS Gulf War code name for a VII Corps objective
C,COLORADO,COLORADO Gulf War code name for a VII Corps phase line
C,COMMANDO,COMMANDO Korean War plan for an offensive to establish the JAMESTOWN line
C,CONTINUE,CONTINUE HOPE United States Central Command operations in Somalia May-December 1993 in support of UNOSOM II
C,COPPER,COPPER Gulf War name for 1st (United Kingdom) Armoured Division objective consisting of COPPER SOUTH (4th Armoured Brigade) and COPPER NORTH (7th Armoured Brigade)
C,CORKSCREW,CORKSCREW World War II (June 1943) conquest of the island of Pantelleria
C,CORONET,CORONET World War II operation (not executed) to invade the island of Honshu at the Tokyo plain
C,COTTAGE,COTTAGE World War II (1943) recapture of Kiska
C,COUNTER,COUNTER Korean War plan for the 45th Infantry Division (I Corps) to capture strategic outpost sites
C,COUGAR,COUGAR Gulf War code name for an XVIII Airborne Corps area of operations
C,COURAGEOUS,COURAGEOUS Korean War (1951) operation for the advance to the Imjin River as a follow-on to RIPPER
C,CRICKET,CRICKET World War II code name for the Malta portion of the ARGONAUT Conference
C,CROSSBOW,CROSSBOW World War II operations by the Royal Air Force against German V-weapon experimental bases
C,CROSSROADS,CROSSROADS 1946 nuclear weapon test on Bikini Atoll
C,CROSSWORD,CROSSWORD World War II code name for a covert operation intended to lead to the surrender of Germany (2 May 1944)
C,CRUSH,CRUSH Gulf War code name for an XVIII Airborne Corps phase line
C,CUDGEL,CUDGEL World War II plan (cancelled) for small-scale operations on the Arakan coast of Burma
C,CUDGEL,CUDGEL Korean War plan for an advance from the WYOMING line in the I and IX Corps sectors
C,CULVERIN,CULVERIN World War II plan for the assault on Sumatra
C,CYCLONE,CYCLONE World War II operation to capture Noemfoor (1944)
D,DAGUET,DAGUET French name for their participation in the Gulf War
D,DAUNTLESS,DAUNTLESS Korean War (1951) plan for a limited advance by I and IX Corps against the Iron Triangle
D,DELTA,DELTA World War II code name for the task force for the invasion of southern France built around the 45th Infantry Division
D,DENVER,DENVER Gulf War code name for a VII Corps objective
D,DENY,DENY FLIGHT North Atlantic Treaty Organization operations over Bosnia-Herzegovina to enforce United Nations Security Council Resolution 816 (initiated 13 April 1993)
D,DESERT CALM,DESERT CALM Gulf War
D,DESERT FAREWELL,DESERT FAREWELL Gulf War redeployment
D,DESERT SABRE,DESERT SABRE Gulf War
D,DESERT SHIELD,DESERT SHIELD United States Central Command deployment in defense of Saudi Arabia, 7 August 1990-16 January 1991
D,DESERT STORM,DESERT STORM United States Central Command offensive operations against Iraq, 17 January-28 February 1991 (the "Gulf War")
D,DESERT SWORD,DESERT SWORD Gulf War code name used in early phases of planning for offensive operations
D,DEXTERITY,DEXTERITY World War II operations in western New Britain and Saidor
D,DIADEM,DIADEM World War II (11 May 1944) Allied offensive in Italy
D,DIBDBAH,DIBDBAH CHARGE Gulf War name for 1st (United Kingdom) Armoured Division exercise to cover its displacement into final tactical assembly area
D,DIME,DIME World War II code name for the beaches at Gela, Sicily
D,DIRECTOR,DIRECTOR World War II code name for the task force for the invasion of Arawe in New Britain
D,DIXIE,DIXIE World War II code name for the US observer mission to the Chines communists
D,DODGE,DODGE United States Central Command main supply route during the Gulf War; the Trans-Arabian Pipeline (TAPLINE) Road and the connecting portion of the coastal highway in Saudi Arabia's Eastern Province extending north from Dhahran-Dammam
D,DOVETAIL,DOVETAIL World War II rehearsal in Fiji of the operation to capture Guadalcanal and a lodgement in the southern Solomon Islands (a sub-task of PESTILENCE)
D,DRACULA,DRACULA World War II (1944) plan for an attack on Rangoon
D,DRAGOON,DRAGOON World War II final plan for the invasion of southern France (15 August 1944); code name was changed from ANVIL on 27 July 1944)
D,DRAGOON,DRAGOON Gulf War 1st Infantry Division attack position (where 1st Squadron, 4th Cavalry, assembled to conduct passage through the breach of border defenses)
D,DRYGOODS,DRYGOODS World War II logistical operation to mass supplies at Guadalcanal in February 1943
D,DULUTH,DULUTH Korean War line of defense to be established by Operation SUNDIAL
E,EAGLE,EAGLE Gulf War code name for an XVIII Airborne Corps area of operations
E,EASTERN EXIT,EASTERN EXIT United States Central Command evacuation of the United States Embassy in Mogadishu, Somalia, 2-11 January 1991, employing elements of the 4th Marine Expeditionary Brigade [4th MEB]
E,ECLIPSE,ECLIPSE World War II name given to Operation TALISMAN after a presumed compromise of security
E,EILBOTE,EILBOTE World War II (January 1943) for a German operation to capture the Kebir River dam and to drive the French off the Eastern Dorsal in Tunisia
E,ELDORADO,ELDORADO CANYON United States European Command 1986 air strike on Libya
E,ELKTON,ELKTON GEN Douglas MacArthur's World War II plan (not executed) for the capture of Rabaul
E,ENCORE,ENCORE World War II (February 1945) IV Corps limited objective operation against Mounte Belvedere
E,END RUN,END RUN World War II code name for the task force built around the survivors of Task Force GALAHAD used for the drive on Myitkyina, Burma
E,ENIGMA,ENIGMA World War II--see ULTRA
E,EUREKA,EUREKA World War II code name for the Tehran Conference, November 1943
E,EVERREADY,EVERREADY Korean War plan covering eventualities of Republic of Korea domestic disturbances and disengaging United Nations Command forces
F,FATIMA,FATIMA World War II code name for the Mason-MacFarlane Mission
F,FELIX,FELIX World War II plan to capture Gibraltar and close the straits of Gibraltar
F,FIERY,FIERY VIGIL United States Pacific Command operations 16-26 June 1991 in the Philippine Islands to evacuate personnel after the eruption of Mount Pinatubo
F,FIREBRAND,FIREBRAND World War II (1943) invasion of Corsica
F,FIVESOME,FIVESOME World War II codeword to cover the multi-national agreement for the coordination of operations in the Southwest Pacific
F,FLASHPOINT,FLASHPOINT World War II (March 1945) Ninth Army assault crossing of the Rhine as part of Operation PLUNDER
F,FLAX,FLAX World War II air operations to disrupt the flow of German air transports from Italy to Sicily and Tunisia
F,FLINTLOCK,FLINTLOCK World War II operation to capture the Marshall Islands
F,FORAGER,FORAGER World War II operation to capture the Mariana Islands
F,FOURTH TERM,FOURTH TERM World War II (February 1945) IV Corps limited objective operation in the Serchio Valley
F,FOX,FOX Gulf War code name for an XVIII Airborne Corps area of operations
F,FRANTIC,FRANTIC World War II Air Force shuttle bombing of Axis-controlled Europe from bases in the United Kingdom, Italy, and the USSR
F,FRICTION,FRICTION Canadian code name for its naval contribution to Operation SCIMITAR (Gulf War)
F,FRUEHLINGSWIND,FRUEHLINGSWIND World War II (February 1943) German Fifth Panzer Army attack against Sidi Bou Zid
F,FRY,FRY World War II operation to occupy four islands in Lake Comacchio, Italy
G,GALAHAD,GALAHAD World War II code name for American long-range penetration groups in Burma
G,GALVANIC,GALVANIC World War II operation to capture the Gilbert Islands and Makin
G,GANGWAY,GANGWAY World War II plan (cancelled) for the unopposed landing at Naples
G,GARCIA,GARCIA Gulf War Forward Assembly Area for 1st Armored Division
G,GARDEN,GARDEN World War II--see MARKET
G,GEORGIA,GEORGIA 24th Infantry Division north-south main supply route in Iraq during DESERT STORM
G,GHOST ZONE,GHOST ZONE United States Southern Command counter-drug operations in Bolivia
G,GIANT,GIANT I World War II plan (canceled) for an air landing and airborne drop along the Volturno River
G,GIANT,GIANT II World War II plan (canceled) for an airborne drop near Rome
G,GOBLET,GOBLET World War II plan (canceled) for the invasion of Italy at Cotrone
G,GOLD,GOLD World War II code name for the assault beach at Normandy assigned to British 30 Corps
G,GOLD,GOLD Gulf War code name for an XVIII Airborne Corps objective (Tallil Air Base)
G,GOLDEN PHESANT,GOLDEN PHEASANT United States Army Forces Command deployment of forces to Honduras, 1987
G,GOLDFLAKE,GOLDFLAKE World War II code name for the movement of Canadian I Corps from Italy to the European Theater of Operations
G,GRANBY,GRANBY British name for their participation in the Gulf War
G,GRANITE,GRANITE World War II tentative plan (13 January 1944) by ADM Chester Nimitz for the capture of the Marshall Islands and other 1944 offensive operations
G,GRAPE,GRAPE Gulf War code name for a VII Corps phase line
G,GRAY,GRAY Pre-World War II contingency plan to occupy the Azores
G,GREEN SWEEP,GREEN SWEEP United States Southern Command counter-drug operation in Bolivia
G,GRENADE,GRENADE World War II (February 1945) assault crossing of the Roer River by Ninth Army followed by a drive northeast to link with the First Canadian Army along the Rhine River; World War II large-scale offensive by 21 Army Group from the Roer to the Rhine
G,GREY,GREY Gulf War code name for an XVIII Airborne Corps objective
G,GYMNAST,GYMNAST World War II (1941) plan for the Allied invasion of French northwest Africa
H,HAMMER,HAMMER Gulf War code name for an XVIII Airborne Corps area of operations
H,HARDIHOOD,HARDIHOOD World War II code name for Allied aid to Turkey in an effort to induce that nation to enter the war
H,HAWKEYE,HAWKEYE XVIII Airborne Corps disaster relief operations in St. Croix, 1989
H,HERBSTNEBEL,HERBSTNEBEL World War II German operational plan for a withdrawal in Italy beyond the Po River
H,HERKULES,HERKULES World War II (1942) German plan (cancelled) to invade Malta
H,HIGHBOY,HIGHBOY Korean War I Corps artillery operation to bring direct fire on enemy positions and bunkers not accessible to other artillery and mortar fire
H,HOME,HOME COMING Korean War plan for limited operation offered as a substitute for BIG STICK
H,HUDDLE,HUDDLE World War II operation to occupy Ndeni (a sub-task of PESTILENCE)
H,HURRICANE,HURRICANE World War II operation to capture Biak (1944)
H,HUSKY,HUSKY World War II (July 1943) operation to invade Sicily
I,ICEBURG,ICEBURG World War II operation to capture Okinawa (1945)
I,ICHIGO,ICHIGO World War II Japanese operation to capture US air bases in east China
I,INDEPENDENCE,INDEPENDENCE World War II French offensive towards Belfort, France
I,INDIGO,INDIGO Pre-World War II contingency plan for the reinforcement of Iceland
I,INTERLUDE,INTERLUDE World War II code name for the rehearsal for the capture of Morotai
I,IOWA,IOWA Gulf War code name for a VII Corps phase line
I,ITALY,ITALY Gulf War VII Corps phase line
J,JAMESTOWN,JAMESTOWN Korean War defensive line to be established by Operation COMMANDO
J,JET,JET Gulf War code name for an XVIII Airborne Corps phase line
J,JOSS,JOSS World War II code name for the beaches in the Licata area
J,JUNO,JUNO World War II code name for the Normandy assault beach assigned to the Canadian 3rd Division
J,JUST,JUST CAUSE United States Southern Command invasion of Panama, 20 December 1989-January 1990
K,KANSAS-WYOMING,KANSAS-WYOMING Korean War defensive lines in the vicinity of the 38th Parallel
K,KAPUT,KAPUT World War II (April 1945) Ninth Army assignment of defeating an incursion into the zone of the XIII Corps and of clearing a sector along the Elbe River
K,KEYSTONE,KEYSTONE Plan for withdrawal of US forces from Vietnam beginning in 1969. Phases of the withdrawal were further identified with a series of names of birds: KEYSTONE EAGLE; KEYSTONE CARDINAL; KEYSTONE BLUEJAY; KEYSTONE ROBIN.
K,KILLER,KILLER Korean War (1951) IX Corps offensive to the Som River
K,KING,KING TWO World War II operation to capture Leyte and the southern Philippines (1944)
K,KNIFE,KNIFE Gulf War code name for an XVIII Airborne Corps phase line
K,KONSTANTIN,KONSTANTIN World War II German reinforcement of the Balkans and Greece
K,KOPENHAGEN,KOPENHAGEN World War II German plan for the seizure of the Mount Cenis Pass as part of Operation Plan ACHSE
L,LARRY,LARRY Gulf War Forward Assembly Area used by Aviation Brigade, 1st Armored Division
L,LEATHERBACK,LEATHERBACK World War II cover name for Woodlark Island (not an operation name)
L,LEHRGANG,LEHRGANG World War II (11-17 August 1943) evacuation of German troops from Sicily to the Italian mainland
L,LEVER,LEVER World War II operation in Italy to clear the area between Reno and the southwest shore of Lake Comacchio
L,LEYTE,LEYTE VICTORY Gulf War code name used by 24th Infantry Division during early planning for offensive options
L,LIBERTY,LIBERTY Gulf War code name for an XVIII Airborne Corps area of operations
L,LILLIPUT,LILLIPUT World War II operation to defend Buna (1942)
L,LIME,LIME Gulf War VII Corps phase line
L,LITTLE SWITCH,LITTLE SWITCH Korean War operation for the repatriation of sick and wounded prisoners of war
L,LONDON,LONDON World War II phase line for XVIII Airborne Corps near Wesel, Germany
L,LUMBERJACK,LUMBERJACK World War II (February-March 1945) converging offensive by First and Third Armies to create a pocket of trapped Germans in the Eifel
M,MAGIC,MAGIC World War II signals intelligence derived from interception of Japanese encoded message traffic
M,MAGNET,MAGNET World War II movement of the first US forces into Northern Ireland
M,MAGNETO,MAGNETO World War II code name for the Yalta portion of the Argonaut Conference
M,MAILFIST,MAILFIST World War II (1945) recapture of Singapore
M,MAINYARD,MAINYARD World War II code name for the island of Guadalcanal (not an operation name)
M,MALLORY MAJOR,MALLORY MAJOR World War II air offensive against the bridges over the Po River
M,MANNA,MANNA World War II British occupation of southern Greece
M,MARKET,MARKET World War II airborne operation in September 1944 Holland designed to facility ground force crossing of lower Rhine River (also see GARDEN)
M,MARS,MARS World War II code name for the US task force in the China-Burma-India Theater of Operations that was the 5332d Brigade (Provisional)
M,MELLON,MELLON Gulf War VII Corps phase line
M,MICHAELMAS,MICHAELMAS World War II code name for the task force for the seizure of Saidor on New Guinea
M,MIKE ONE,MIKE ONE World War II plan for the invasion of Lingayen Gulf
M,MIKE TWO,MIKE TWO World War II plan for the invasion of Dingalan Bay
M,MIKE THREE,MIKE THREE World War II plan for the invasion of Vigan
M,MIKE FOUR,MIKE FOUR World War II plan for the invasion of Nasugbu and Balayan Bays
M,MIKE SIX,MIKE SIX World War II plan for the invasion of Batangas and Tayabas Bays
M,MIKE SEVEN,MIKE SEVEN World War II plan for the invasion of the Zambales coast
M,MINCEMEAT,MINCEMEAT World War II cover plan to divert attention from Operation HUSKY to induce the Axis to believe that Allied objectives were Sardinia and the Peloponnesus instead of Sicily
M,MINERVA,MINERVA World War II code name for the 6 November 1942 embarkation of General Henri Giraud from southern France
M,MINNESOTA,MINNESOTA Gulf War code name for a VII Corps phase line
M,MONACO,MONACO Gulf War VII Corps phase line
M,MONTCLAIR,MONTCLAIR World War II; final name given to PRINCETON
M,MORGENLUFT,MORGENLUFT World War II (February 1943) German attack by the Afrika Korps against Gafsa after Operation FRUEHLINGSWIND
M,MUSKET,MUSKET World War II plan for a projected landing in 1943 on the heel of the Italian peninsula near Taranto
M,MUSKETEER,MUSKETEER World War II basic plan for operation to liberate the Philippine Islands
M,MUSTANG,MUSTANG World War II plan (canceled) for an overland seizure of Naples after initial landings in Calabria
N,NEPTUNE,NEPTUNE World War II plan for the actual 1944 operations within OVERLORD; used for security reasons after September 1943 on all OVERLORD planning papers that referred to the target area and date
N,NEW GALAHAD,NEW GALAHAD World War II code name for American long-range penetration groups in Burma
N,NEW JERSEY,NEW JERSEY Gulf War code name for a VII Corps phase line
N,NEW YOR,KNEW YORK World War II XVIII Airborne Corps phase line in the Ringenberk-Krudenberg area in Germany
N,NEWMARKET,NEWMARKET Code name for the 101st Airborne Division's main supply route to Forward Operating Base COBRA during DESERT STORM
N,NIMROD,NIMROD DANCER United States Southern Command build-up of rotational forces in Panama, summer of 1989
N,NORDWIND,NORDWIND World War II German January 1945 offensive against the Seventh Army in Alsace (launched 31 December 1944)
N,NUNTON,NUNTON World War II (March 1944) Allied cover and deception plan
O,OCHSENKOPF,OCHSENKOPF World War II (26 February 1943) German operation to extend the Tunis bridgehead by capturing Bédja and Medjez el Bab
O,OCTAGON,OCTAGON World War II code name for the Quebec Conference, September 1944
O,OLIVE,OLIVE World War II (September 1944) attack on the Gothic Line in Italy
O,OLIVENERNTE,OLIVENERNTE World War II (January 1943) German plan (cancelled) to capture Medjez el Bab
O,OLYMPIC,OLYMPIC World War II plan (not executed) for the March 1946 invasion of the island of Kyushu
O,OMAHA,OMAHA World War II code name for the assault beach at Normandy assigned to V Corps
O,OMAHA,OMAHA Gulf War VII Corps phase line
O,ORANGE,ORANGE Pre-World War II plan within the RAINBOW matrix for unilateral conflict between the United States and Japan; ORANGE 1 was approved in 1938, ORANGE 3 in April 1941
O,ORANGE,ORANGE Gulf War code name for an XVIII Airborne Corps objective (Jalibah Air Base)
O,OVERLORD,OVERLORD World War II (6 June 1944) Allied cross-Channel invasion of northwest Europe
O,OVERWHELMING,OVERWHELMING Korean War (1951) plan for an offensive by Eighth Army to the P'yonggang-Wonsan line (cancelled)
P,PANTHER,PANTHER World War II British 10 Corps drive across the Garigliano River in Italy
P,PARASOL-SWITCHBACK,PARASOL-SWITCHBACK Vietnam 1963 program supplying founds for use with the Civilian Irregular Defense Group (CIDG) program
P,PARIS,PARIS World War II XVIII Airborne Corps phase line west of Erle, Germany
P,PATRIOT DEFENDER,PATRIOT DEFENDER Name applied to United States European Command deployment of Patriot missiles to Israel in 1991 during Gulf War
P,PEAR,PEAR Gulf War VII Corps phase line
P,PERPETUAL,PERPETUAL World War II (11 November 1942) Eastern Task Force reserve's landing at Bougie
P,PERSECUTION,PERSECUTION World War II operation to capture Aitape (1944)
P,PESTILENCE,PESTILENCE COMSOPAC OPLAN 1-42, 16 July 1942, World War II plan for "Task One" to launch the initial offensive operation in Guadalcanal and the southern Solomon Islands
P,PICADILLY,PICADILLY World War II code name for a drop site for the Chindits in Burma
P,PIGSTICK,PIGSTICK World War II limited operation (cancelled) on the south Mayu Peninsula
P,PILEDRIVER,PILEDRIVER Korean War (1951) counterattack operation
P,PINK,PINK Korean War (December 1950) emergency shipment of logistical support from the Continental United States to build up the Far East Command
P,PLATINUM,PLATINUM Gulf War name for 1st (United Kingdom) Armoured Division objective
P,PLUM,PLUM Gulf War phase line for 1st Armored Division movement from Tactical Assembly Area THOMPSON to Forward Assembly Area GARCIA
P,PLUNDER,PLUNDER World War II (March 1945) 21 Army Group assault across the Rhine north of the Ruhr
P,POINTBLANK,POINTBLANK World War II combined bomber offensive against Germany from bases in the United Kingdom
P,POLECHARGE,POLECHARGE Korean War plan for the capture of hill objectives on the JAMESTOWN line during Operation COMMANDO
P,POPLAR TREE,POPLAR TREE United States Southern Command 1989 plan (not executed) for possible evacuation of personnel from El Salvador
P,POSTERN,POSTERN World War II operation to capture Lae-Finschhofen-Madang
P,POWERPACK,POWERPACK United States Atlantic Command operation 1965-1966 in the Dominican Republic
P,PRINCETON,PRINCETON World War II plan establishing the basic outline for the reoccupation of the Visayas-Mindanao-Borneo-Netherlands East Indies area (later renamed MUSKETEER)
P,PRODUCTIVE EFFORT,PRODUCTIVE EFFORT Original name for SEA ANGEL
P,PROMOTE LIBERTY,PROMOTE LIBERTY United States Southern Command stability operation conducted in Panama in 1990 after the conclusion of JUST CAUSE
P,PROVEN,PROVEN FORCE United States European Command joint task force operation from Turkey as part of the Gulf War
P,PROVIDE COMFORT,PROVIDE COMFORT United States European Command operations (two) conducted in Turkey in support of Kurdish refugees from northern Iraq
P,PROVIDE HOPE,PROVIDE HOPE United States European Command humanitarian relief operation in 1992 in the former Soviet Union
P,PROVIDE PROMISE,PROVIDE PROMISE United States European Command humanitarian relief operation 1991-1993 in the Former Republic of Yugoslavia
P,PROVIDE REFUGE,PROVIDE REFUGE United States Pacific Command humanitarian relief operation in 1993 at Kwajalein Atoll
P,PROVIDE RELIEF,PROVIDE RELIEF United States Central Command humanitarian relief operation in 1992 staged by a joint task force operating from base in Kenya
P,PROVIDE TRANSITION,PROVIDE TRANSITION United States Air Force operation in 1992 in Angola
P,PROVIDENCE,PROVIDENCE World War II plan (canceled) for the occupation of the Buna area of New Guinea
P,PUGILIST-GALLOP,PUGILIST-GALLOP World War II (1943) attack to outflank the Mareth Line in Tunisia
P,PURPLE,PURPLE Gulf War code name for an VII Corps objective
P,PURPLE,PURPLE STORM United States Southern Command exercises in Panama in 1989 to both assert United States treaty rights and to conduct tactical rehearsals for JUST CAUSE
P,PYTHON,PYTHON Gulf War attack position near Al Busayyah used by Aviation Brigade, 1st Armored Division
Q,QUADRANT,QUADRANT World War II code name for the Quebec Conference (August 1943)
Q,QUEEN,QUEEN World War II 12th Army Group operation on the Roer plain between the Wurm and the Roer Rivers
Q,QUICK,QUICK LIFT 1991 evacuation of personnel in Zaire
